Name,Data Point
Andrea Campbell,@CampbellforD4
Michael Flaherty,@mfflaherty ‏
Michelle Wu,@wutrain
Annissa Essaibi George,@AnnissaForBos
Lydia Edwards,@LydiaMEdwards
Ed Flynn,@EdforBoston
Tim McCarthy,@McCarthy4Boston ‏
Matt O'Malley,@MattOMalley
Kim Janey,@Kim_Janey
Josh Zakim,@joshzakim
Mark Ciommo,@MarkCiommo
Marty Walsh,@marty_walsh
Charlie Baker,@CharlieBakerMA
Craig Kelley,@CraigKelleyone
Boston City Council,@BOSCityCouncil
Tim Toomey,@TimToomey1
Quinton Zondervan,@qzondervan
Marc McGovern,@Cambridge_Mayor
Cambridge City Council,@camcitco
Joe Petty,@MayorPetty
City of Springfield,@SpfldMACityHall
City of Lowell,@CityofLowellMA
Bill Carpenter,@MayorBillCarp
City of New Bedford,@NewBedford_MA
City of Lynn,@LynnCityHall
Tom McGee,@TomMcGeeforLynn
Ruthanne Fuller,@RuthanneFuller
City of Newton,@NewtonMAMayor
Joseph A. Curtatone,@JoeCurtatone
Lawrence,@COL1853
Dan Rivera,@danrivera01843
Framingham,@Framingham_MA
Yvonne Spicer,@Mayor_Spicer
Jeannette McCarthy,@Mayor_McCarthy
City of Haverhill,@cityofhaverhill
Jim Fiorentini,@jimfiorentini
City of Malden,@TheCityofMalden
Gary Christenson,@MayorOfMalden
Town of Brookline,@TownofBrookline
Stephanie Burke,@MayorofMedford
Thomas Hoye,@MayorHoye
City of Chicopee,@Chicopee_MA
Brian Arrigo,@MayorArrigo
Bob Hedlund,@MayorBobHedlund